NAME;STUSAB;INTPTLAT;INTPTLON
Lyon;KY;37.0239759;-88.0833909
Ware;GA;31.050881;-82.4215072
Turner;GA;31.7248005;-83.6203195
Calhoun;IL;39.1642619;-90.6662949
Defiance;OH;41.3216789;-84.4864334
Holmes;FL;30.8620072;-85.8159385
Jackson;MS;30.4560045;-88.6251005
Mohave;AZ;35.717705;-113.7496891
Horry;SC;33.9092694;-78.9766749
Chase;NE;40.5303903;-101.6941918
Taney;MO;36.6498267;-93.0428188
Montgomery;GA;32.1721081;-82.5333487
Palo Pinto;TX;32.7522042;-98.3179673
Beaver;OK;36.7483343;-100.4830555
Tulare;CA;36.2288339;-118.7810551
Rockbridge;VA;37.8145174;-79.4477537
Lincoln;TN;35.1427838;-86.5934033
Davidson;TN;36.1691287;-86.7847898
Johnson;WY;44.0440477;-106.5885406
Isabela;PR;18.4838703;-67.0141381
Cumberland;PA;40.1648047;-77.2634419
Chautauqua;NY;42.3042159;-79.4075949
Wise;VA;36.9745607;-82.6215601
Clay;MS;33.65967;-88.782468
La Salle;TX;28.3510976;-99.0967743
Lyon;IA;43.3835796;-96.2072011
Lafayette;AR;33.2406294;-93.611514
Mahnomen;MN;47.3283866;-95.8110885
Perry;MO;37.7111296;-89.8021249
Anderson;KY;38.0053963;-84.9864171
Fentress;TN;36.3698921;-84.9377641
Pickett;TN;36.5593638;-85.075741
Wheatland;MT;46.4970466;-109.8571467
McPherson;SD;45.7842491;-99.2114212
Seneca;OH;41.1199923;-83.1275469
Callahan;TX;32.2931499;-99.372249
Muskegon;MI;43.2892579;-86.751892
Siskiyou;CA;41.5879861;-122.5332868
DeSoto;MS;34.874266;-89.99324
Dunklin;MO;36.3069045;-90.065394
Ascension;LA;30.2064437;-90.9125023
Chesterfield;VA;37.3784338;-77.5858474
Jackson;IL;37.7860959;-89.3812119
Tooele;UT;40.4677525;-113.1239786
Gulf;FL;29.9072571;-85.2565366
Newton;TX;30.7867182;-93.73925
Bath;KY;38.1522485;-83.7376405
Armstrong;PA;40.8123805;-79.4641285
Hartley;TX;35.8402444;-102.6100473
Sedgwick;KS;37.681045;-97.4610535
Mercer;OH;40.5353325;-84.6320588
Cuming;NE;41.9158651;-96.7885168
Clay;AL;33.2703999;-85.8635254
Floyd;GA;34.2636918;-85.2136851
Dakota;NE;42.3916449;-96.5613555
Putnam;WV;38.5105128;-81.906109
Macon;GA;32.3626859;-84.0512306
Caldwell;NC;35.966395;-81.5125411
Lane;KS;38.4812863;-100.4661853
Durham;NC;36.0338282;-78.8781246
Lewis and Clark;MT;47.1320133;-112.3733673
Trousdale;TN;36.3930297;-86.1566909
Broward;FL;26.1935353;-80.4766834
Eastland;TX;32.3246454;-98.8365596
Paulding;OH;41.1189483;-84.5821249
Ringgold;IA;40.7353342;-94.2442514
Jefferson;PA;41.1380282;-79.012419
Jerauld;SD;44.0634099;-98.6231702
Mineral;NV;38.516647;-118.4162794
Ottawa;OK;36.8357635;-94.8026814
Beaufort;NC;35.4823128;-76.8420144
Tunica;MS;34.6522011;-90.3717697
Bartholomew;IN;39.205843;-85.8979988
Garland;AR;34.5788523;-93.1469323
Washakie;WY;43.8788305;-107.669052
Koochiching;MN;48.2453743;-93.7828956
Upton;TX;31.3538163;-102.0415461
San Francisco;CA;37.7272391;-123.0322294
Monongalia;WV;39.6336448;-80.0590736
Randall;TX;34.962529;-101.8955472
Howard;MO;39.143365;-92.6959255
Calhoun;FL;30.3888013;-85.1979155
Kingsbury;SD;44.3629687;-97.499313
Floyd;TX;34.0737305;-101.3032742
Linn;OR;44.4888982;-122.5372084
Potter;TX;35.3986751;-101.893804
Carter;TN;36.2847441;-82.1265932
Nassau;NY;40.7296118;-73.5894144
Avery;NC;36.07209;-81.9202847
Adams;ID;44.877004;-116.4616241
Tuolumne;CA;38.0214344;-119.9647335
Maricao;PR;18.1739559;-66.9355468
Darke;OH;40.1315415;-84.6212484
McDowell;WV;37.3827274;-81.6581833
New Haven;CT;41.3497185;-72.9002033
Rock;WI;42.6698802;-89.0752844
Tuscola;MI;43.4879024;-83.436618
Mississippi;AR;35.7669437;-90.0522072
Monroe;MS;33.8900295;-88.4850379
Swisher;TX;34.5263193;-101.7438647
El Dorado;CA;38.7856116;-120.5342245
Gates;NC;36.4421353;-76.7023552
Cavalier;ND;48.7684388;-98.4637903
Frio;TX;28.8693343;-99.1087876
Merrimack;NH;43.2995786;-71.6800412
Bulloch;GA;32.3917111;-81.744021
Pontotoc;MS;34.2270808;-89.0372387
Burnet;TX;30.7896305;-98.2011868
Stewart;GA;32.073225;-84.8349117
Lauderdale;AL;34.9041221;-87.6509966
Portsmouth;VA;36.8593388;-76.3569725
Cleburne;AL;33.6719637;-85.5161261
Williamson;TN;35.8948075;-86.8980679
Cass;IL;39.9692024;-90.2457045
Boise;ID;43.9872749;-115.7151105
Shoshone;ID;47.3476935;-115.8850916
Jones;IA;42.1251175;-91.1169141
Dale;AL;31.4306536;-85.609476
Daggett;UT;40.890099;-109.5057855
Guadalupe;NM;34.8697822;-104.7849677
Albemarle;VA;38.0241841;-78.5535056
Claiborne;MS;31.9728096;-90.9154239
Tallapoosa;AL;32.8633076;-85.7996176
Baylor;TX;33.6188024;-99.2081888
Grant;MN;45.9307426;-96.0106987
Crawford;KS;37.5058215;-94.8538967
Hillsborough;NH;42.9115317;-71.7230554
Nueces;TX;27.7400315;-97.5162143
Rensselaer;NY;42.7104206;-73.5138454
Yavapai;AZ;34.631071;-112.5772247
Morris;NJ;40.8588961;-74.5472917
Sullivan;MO;40.209587;-93.1097826
Scurry;TX;32.7443531;-100.9133465
Clark;KS;37.2338311;-99.8138686
Gladwin;MI;43.9897504;-84.3898162
Lancaster;SC;34.6868182;-80.7036885
Bergen;NJ;40.9596985;-74.0747272
Carolina;PR;18.3967757;-65.9687781
Wayne;UT;38.2598402;-110.990877
Lawrence;IL;38.7189542;-87.7302207
Champaign;IL;40.1389845;-88.1969749
Tulsa;OK;36.1203177;-95.9418132
Noble;OH;39.7672317;-81.452493
Muscatine;IA;41.483776;-91.1186992
Gilmer;WV;38.9158671;-80.8494132
Itawamba;MS;34.2810747;-88.3631269
Knox;ME;44.0420446;-69.0385145
Conejos;CO;37.2134065;-106.1764473
West Baton Rouge;LA;30.4640516;-91.309808
Suffolk;VA;36.6971573;-76.6347808
Clinton;MO;39.6087233;-94.3958028
Union;OH;40.2959008;-83.3670416
Madison;LA;32.3468782;-91.2319321
Cedar;NE;42.6045604;-97.2568696
DeKalb;MO;39.8946645;-94.4071901
Manassas;VA;38.7468077;-77.4826328
Luquillo;PR;18.3679961;-65.7099036
Crawford;PA;41.687876;-80.107795
Hamblen;TN;36.2183967;-83.2660711
Hockley;TX;33.605932;-102.3433978
Panola;TX;32.1639784;-94.3051563
Wabaunsee;KS;38.9551537;-96.2012619
Atlantic;NJ;39.4693555;-74.6337591
Manitowoc;WI;44.156137;-87.5773525
Stone;AR;35.8570011;-92.1404819
Churchill;NV;39.5377097;-118.2641661
Middlesex;CT;41.4330028;-72.5227802
Decatur;KS;39.783542;-100.4597084
Morgan;OH;39.6249458;-81.8616967
Lyon;KS;38.4554034;-96.1616407
Lincoln;NC;35.4884913;-81.2268916
Toombs;GA;32.1178118;-82.3306257
Warren;IN;40.3526584;-87.3758466
Gilchrist;FL;29.7234556;-82.7958011
Emporia;VA;36.696182;-77.5359753
Dubois;IN;38.3733441;-86.8733845
Hughes;OK;35.0529339;-96.2511829
Pondera;MT;48.2286037;-112.2207612
McDonald;MO;36.630218;-94.3439556
Kinney;TX;29.3470865;-100.4177003
Lincoln;LA;32.6018231;-92.6623026
Oldham;TX;35.4019206;-102.5976203
Glades;FL;26.9548102;-81.1908197
Orange;VA;38.250193;-78.0096224
Marshall;AL;34.3095637;-86.3216681
