,name,lat,long
510,Greene VA,38.2979805,-78.4701629
511,Guam GU,13.4417451,144.7719021
512,Harrison OH,40.2923175,-81.0915651
513,Karnes TX,28.9089957,-97.8522048
514,Scott IL,39.6370016,-90.4777707
515,Warren NY,43.5551053,-73.8381388
516,Washburn WI,45.8924885,-91.7964217
517,Calhoun GA,31.521279,-84.6262895
518,Kleberg TX,27.4387348,-97.6606203
519,Berks PA,40.4139565,-75.9268598
520,Berkshire MA,42.371493,-73.2179276
521,Cleveland NC,35.3346302,-81.5571145
522,Dallas IA,41.6853205,-94.0407065
523,Warren NC,36.3981051,-78.0998993
524,Wichita TX,33.9882125,-98.7080098
525,Pamlico NC,35.1475747,-76.6652684
526,Jessamine KY,37.8732908,-84.5839603
527,Giles TN,35.2027228,-87.035319
528,Sumner KS,37.2366617,-97.4933519
529,White GA,34.643776,-83.7434165
530,LaSalle LA,31.6800826,-92.1615956
531,Johnson IA,41.670668,-91.5905285
532,Fairbanks North Star AK,64.6760436,-146.5481586
533,Ceiba PR,18.2737491,-65.5308947
534,Florence SC,34.0285346,-79.7102329
535,Anoka MN,45.2741098,-93.2427232
536,Wicomico MD,38.3673699,-75.6320828
537,Weld CO,40.555961,-104.383666
538,Juniata PA,40.530673,-77.4004377
539,Mecosta MI,43.6352949,-85.3327509
540,Childress TX,34.5246235,-100.2081658
541,Warren KY,36.995634,-86.4235786
542,Davis IA,40.7480892,-92.4103453
543,Levy FL,29.2844566,-82.783462
544,Pulaski MO,37.8248346,-92.2070224
545,Blaine NE,41.931945,-99.9964074
546,Fisher TX,32.7404728,-100.4031198
547,Coffee GA,31.5492452,-82.8449401
548,Hardin IA,42.3902079,-93.241669
549,Edgefield SC,33.7764976,-81.9682452
550,Rockingham NH,42.9886636,-71.0990801
551,San Augustine TX,31.3824492,-94.1631796
552,Kosciusko IN,41.2442928,-85.8615754
553,Hardin TX,30.3296483,-94.3931782
554,Seneca NY,42.7822943,-76.827088
555,Pendleton WV,38.6744501,-79.3406175
556,Sherman OR,45.3992158,-120.6785124
557,Texas MO,37.3142565,-91.9644783
558,Pulaski AR,34.7703106,-92.312996
559,Choctaw OK,34.0276453,-95.5542077
560,Walla Walla WA,46.2546057,-118.4803697
561,Kent TX,33.1847797,-100.7697199
562,Teton MT,47.8190352,-112.2817249
563,Currituck NC,36.3721739,-75.9412242
564,Dearborn IN,39.14832,-84.9734976
565,Putnam OH,41.0245334,-84.1298791
566,San Saba TX,31.1551375,-98.8192922
567,Oldham KY,38.4001274,-85.4561516
568,Oliver ND,47.1180789,-101.3314198
569,Windsor VT,43.5726846,-72.5988211
570,Hawaii HI,19.5977643,-155.5024434
571,Keweenaw MI,47.6819737,-88.1487965
572,McCormick SC,33.8975992,-82.3161961
573,Mineral MT,47.1519417,-115.0656272
574,Putnam IN,39.6655479,-86.8533729
575,Wilkes GA,33.7790312,-82.7479211
576,Butts GA,33.2903551,-83.9582206
577,Pierce ND,48.2388827,-99.966497
578,Lumpkin GA,34.5681403,-83.9989251
579,York VA,37.2190813,-76.5616481
580,Isabella MI,43.6452331,-84.8394245
581,Dyer TN,36.054196,-89.3983058
582,Norfolk MA,42.1717393,-71.1811115
583,Thurston WA,46.9358216,-122.8301524
584,Columbus NC,34.2616017,-78.6393077
585,Taylor TX,32.2971255,-99.8904299
586,Winnebago IA,43.3781243,-93.7434883
587,Zapata TX,26.9969806,-99.1826027
588,Boyd KY,38.3600037,-82.6814063
589,Lewis TN,35.5232441,-87.4969827
590,Virginia Beach VA,36.7799845,-76.0252078
591,Kent RI,41.6742448,-71.5809243
592,New Madrid MO,36.5942608,-89.6559485
593,Skamania WA,46.0247853,-121.9532319
594,Saguache CO,38.0316514,-106.2346662
595,Clay TX,33.7859042,-98.2129174
596,Gonzales TX,29.4619121,-97.4919205
597,Wakulla FL,30.139432,-84.3748463
598,Volusia FL,29.057769,-81.161792
599,Polk AR,34.4909149,-94.2308841
600,Huntington IN,40.8263938,-85.4785975
601,Marshall IN,41.3250032,-86.2690363
602,Fillmore MN,43.6791869,-92.0939369
603,Androscoggin ME,44.1676811,-70.2074347
604,Klamath OR,42.6837613,-121.6461682
605,Oswego NY,43.4614431,-76.2092618
606,Russell VA,36.9334198,-82.0959342
607,Alexandria VA,38.8192511,-77.0836695
608,Sacramento CA,38.4500161,-121.3404408
609,Calaveras CA,38.1838996,-120.5614415
610,Grafton NH,43.9264391,-71.8424242
611,Hickman TN,35.8023275,-87.4671159
612,Otsego NY,42.6297762,-75.028841
613,Robertson KY,38.5134727,-84.06423
614,Jefferson TN,36.0483379,-83.4411426
615,Montrose CO,38.4075069,-108.2662815
616,Richmond VA,37.531399,-77.4760085
617,Lafayette LA,30.2065065,-92.06417
618,Jack TX,33.2321615,-98.1711758
619,Carroll MD,39.5633308,-77.0153276
620,Jefferson WA,47.8057075,-123.5270572
621,Traill ND,47.4462146,-97.1647538
622,Ray MO,39.3084005,-93.9957462
623,Sharkey MS,32.8923946,-90.8276129
624,Radford VA,37.1201194,-80.5591473
625,Aguadilla PR,18.4801911,-67.1437616
626,Owen IN,39.3173394,-86.8388453
627,Columbia WA,46.2928505,-117.9116345
628,Scott KS,38.4818768,-100.9063604
629,Jackson AL,34.764114,-85.9800556
630,Powell KY,37.8099073,-83.8313543
631,Greene OH,39.6874785,-83.8948943
632,Guadalupe TX,29.583532,-97.946771
633,Island WA,48.1585538,-122.6706492
634,Van Buren IA,40.7541168,-91.952943
